product_name,start_range,end_range
Exceptional Medieval English Groat c.1960,22620,49650
Vintage Hydrographic Chart Coastal Estate Fresh,4180,12000
Teddy Ruxpin Working Regency Period,1390,3020
Ship Figurehead Carved Late Victorian,6070,18000
Documented Stumpwork Embroidery Panel,4120,7550
Rare Medieval Broadsword,3200,4530
Gretsch White Falcon Guitar c.1970,27320,60000
Estate Carriage Clock Brass Repeating c.1880,4410,9870
Schiaparelli Shocking Pink Hat Mid-Century Recently Conserved,3040,9240
Published Fishing Creel Wicker Antique Post-War,4860,9260
Jesse Owens Olympic Photo Signed c.1800 Museum Deaccessioned,19480,50000
Late Persian Miniature Manuscript Page c.1840 As Found,22570,47100
Fine Bentley Flying B Mascot,1940,5000
Original Tin Robot Battery Operated Unrestored,7210,15000
Late Orrefors Crystal Vase Signed Early 20th Century,9450,25000
Original Audubon Birds Print As Found,14020,47880
Documented Ormolu Mounted Marble Urn,10640,25000
Late Girandole Mirror Candelabra c.1840,3380,11240
Restored Terracotta Statuette Estate Fresh,39630,59420
Published Mercury Dime Full Bands c.1880,23210,50850
Signed Chanel Tweed Jacket Vintage c.1840,15460,26200
Continental Khotan Silk Rug Empire Period As Found,14310,30000
Estate Brass Telescope Victorian,3320,6050
Important Concrete Brutalist Form c.1970 Estate Fresh,39110,80000
Certified Grueby Faience Tile,6240,13770
Notable France Ceres Issue Federal Period,13440,35770
Museum Quality Japanese Ukiyo-e Woodblock Print,4650,12000
Miniature Faberge Style Egg,1910,4600
Nintendo Entertainment System Boxed c.1840,9650,20370
Remarkable Robert Mapplethorpe Flower Print c.1820,1910,3740
Khmer Sandstone Apsara Relief,9090,11980
Waterford Crystal Decanter Set 18th Century,11710,25000
Late Ansel Adams Yosemite Print c.1900 Excellent Condition,6950,19560
Fine Resin Cast Figure c.1970,20770,54310
Exquisite Art Nouveau Silver Photo Frame c.1960,2380,7510
Distinguished Art Deco Automobile Mascot Arts & Crafts Era,2410,4900
Silhouette Portrait Collection c.1800,1420,2540
Restored Van Briggle Lorelei Vase c.1840,2120,5730
Bentley Flying B Mascot 19th Century,1650,2520
Magnificent Surrealist Dreamscape Excellent Condition,1560,4620
Joe DiMaggio Bat Game Used Belle Epoque With Provenance,8140,24820
Original Cartier Tank Art Deco Period,9020,19690
Antique Bible Leather Bound As Found,20100,33560
Ferrari Prancing Horse Badge Collection Museum Deaccessioned,240,580
Dunhill Leather Briefcase Arts & Crafts Era,12850,24320
Colonial Delft Tulip Vase,19420,40000
Signed Backgammon Set Leather Vintage Arts & Crafts Era,520,1340
Notable Tribal Caucasian Kazak Rug Mid-Century From Private Collection,8650,19260
Boer War Medal Group,4630,6360
Ornate Atari Jaguar Console Sealed,3180,10060
Provenance Enamel Dial Dress Watch,41940,64270
Bronze Figurine,37470,80000
Historic Thermometer Clinical Antique,3640,10990
Museum Quality Industrial Factory Pendant,4520,9180
Nepalese Bronze Deity Figure As Found,7910,23090
Art Deco Illustrated Novel Early 20th Century With Certificate,10250,25660
Monumental Cuckoo Clock Black Forest Unrestored,8620,18000
Authentic WWII Aviator Leather Jacket Art Deco Period,2010,4010
Penny Bank Mechanical,6470,10250
Psychedelic Rock Concert Poster Late Victorian,1870,4800
Grand Walker Evans FSA Print Art Nouveau Period,12500,30000
Documented Rookwood Art Pottery Vase,10060,29140
Estate Meccano Construction Set Vintage,360,560
Lanvin Art Deco Evening Bag c.1940,14460,35000
Unmatched Bobby Orr Signed Stick,1160,2220
Ornate Sinumbra Lamp Cut Glass Shade Early 20th Century,250,680
Hermes Birkin Bag c.1880,12590,32310
Grand Blancpain Fifty Fathoms Excellent Condition,15780,43030
Period Sepik River Ancestor Figure c.1950 From Private Collection,2400,6320
Fine Mobil Pegasus Neon Sign c.1840,1790,5000
Scarce Military Campaign Map Napoleonic c.1960,4420,12000
Notable Pointillist Seascape c.1840 With Certificate,59550,150000
Authentic Korean Celadon Bowl 19th Century,29340,42860
Premier Beadwork Purse Victorian Late Victorian With Provenance,12300,23670
Imogen Cunningham Magnolia Print c.1940 Unrestored,1970,5920
Choice Tlingit Chilkat Blanket Federal Period,2180,6930
Continental Ship Figurehead Carved,3560,11880
Historic Baccarat Crystal Wine Glasses,11900,25000
Venini Glass Pendant Light c.1900 Unrestored,3320,10110
Important Victorian Silver Toast Rack,800,2540
Indian Head Gold Eagle c.1970,26880,66570
Exquisite 17th Century World Map As Found,3960,11560
Restored Tower Clock Movement Antique Post-War,3160,10200
Vintage Zuni Fetish Carving Collection With Certificate,8470,12720
Continental Limestone Garden Balustrade c.1940,7210,15000
Monumental Sega Genesis Console Boxed,3250,8010
Restored Dumbwaiter Tiered Stand Regency Period From Private Collection,10470,25000
Venetian Lattimo Glass Bowl As Found,8020,14890
Antique Arts & Crafts Mica Shade Lamp c.1840,4240,7880
Provenance Vintage Fly Fishing Rod Hardy,4210,12000
Published Fresco Fragment 19th Century,34020,113030
Garden Fountain Tiered Stone c.1880,4700,10580
Pristine Psychedelic Rock Concert Poster c.1820,2810,9520
Early Antique Sapphire Earrings c.1860,33880,54470
Superb F. Scott Fitzgerald Signed Copy Regency Period,18970,49620
Versace Medusa Evening Gown With Certificate,14360,20760
Fine Ortelius Theatrum Orbis Page c.1910,2760,9380
British Guiana One Cent Magenta Edwardian Era From Private Collection,3200,10960
Published Tortoiseshell Tea Caddy Early 20th Century,1860,5090
Boxing Gloves Vintage Leather c.1820 Good Condition,1340,3250
Dalmore 50 Year Single Malt,7580,21650
Unique Weller Sicard Vase,19580,29670
Trade Dollar Proof,7110,18290
Qashqai Tribal Bag,9260,24160
Superb Zuni Fetish Carving Collection c.1960,7050,17350
Continental Art Deco Mantel Clock c.1920,1810,4600
Kosta Boda Art Glass Bowl,9180,19320
Restored Leica M3 Camera Body,5640,10170
Historic Bottega Veneta Clutch,7080,12020
Museum Quality Cuckoo Clock Black Forest,1860,2410
Matched Pairpoint Puffy Boudoir Lamp,1940,3120
Art Deco Automobile Mascot Federal Period Recently Conserved,1710,4810
Signed Dickens Volume,9140,27270
Late Agatha Christie Signed First Edition Mid-Century,11430,30210
Provenance Hooked Rug Floral Design,8400,12460
Whale Oil Lamp Antique,5010,15290
Provenance James Joyce Ulysses 1st Ed c.1940,20250,50000
Tribal Caucasian Kazak Rug Early 20th Century,6070,19730
Rare Secretariat Derby Photo Early 20th Century,5110,11580
Surveyor's Transit Brass Regency Period,260,380
Vintage Croquet Set Complete Post-War,4410,5970
Bakelite Telephone Rotary,7460,16230
Matched Pembroke Drop-Leaf Table c.1930,6210,14070
Published Seiko Grand Seiko Spring Drive Arts & Crafts Era,35590,120000
Authentic Purdey Side by Side Shotgun,2540,4060
Magnifying Glass Sterling Handle,6350,15000
Signed Czech Art Glass Sculpture,6900,10410
Pristine WWII Aviator Leather Jacket From Private Collection,1330,2530
Important Longcase Grandfather Clock,1380,1830
Lee Friedlander Street Print Federal Period Excellent Condition,4570,11700
Exhibited Cuckoo Clock Black Forest Museum Deaccessioned,7500,17800
Delicate Van Briggle Lorelei Vase c.1780,5160,14460
Documented Resin Cast Figure c.1860 Unrestored,29400,63090
Compass Surveyor's Brass Arts & Crafts Era,4810,15000
Exceptional 1985 Sassicaia c.1860,11860,25000
Rare Luminist Harbor View c.1960,44420,150000
Early Isfahan Silk Rug c.1920 As Found,6050,14180
Estate Louis XVI Commode Museum Deaccessioned,2960,7400
Exquisite Wheel Barometer Rosewood Museum Deaccessioned,4410,15140
Cinderella Stamp Album c.1800,18060,28130
Shaker Oval Box Nested Set c.1950,6030,16660
Museum Quality Beatles Concert Poster Original c.1970 With Certificate,170,280
Restored Chopard Alpine Eagle Belle Epoque,38450,112250
Incunabulum Leaf 1480s 18th Century,10370,15200
Signed Roman Legionary Helmet Replica Edwardian Era,4080,10310
Museum Quality Sterling Silver Cigar Box,4070,9710
Late Tang Dynasty Horse Figure,9150,15370
Vintage Tube Amplifier,5350,11440
Matched Newel Post Cap Bronze With Certificate,2480,5680
Estate Diego Maradona Signed Shirt Post-War,3760,8490
Unique Noh Theatre Mask c.1800,3560,10600
Important Geological Survey Map Victorian Recently Conserved,4130,7630
Medieval English Groat,2060,6970
Tiffany Wisteria Table Lamp Belle Epoque,2330,7550
Provenance Tavern Sign Iron Bracket c.1800,2960,4060
Unmatched Decoy Shorebird Carved Late Victorian,230,350
French Foreign Legion Kepi Art Deco Period,2810,7600
Chanel Tweed Jacket Vintage,15450,31910
Museum Quality Lanvin Art Deco Evening Bag c.1840,14280,24040
Rare Cinderella Stamp Album c.1820 From Private Collection,21020,44130
Medieval Broadsword c.1970 From Private Collection,1580,2740
Attributed Sultanabad Mahal Carpet c.1930,10630,13860
1985 Sassicaia,2030,6200
Mid-Century Arco Floor Lamp,7400,20000
Late Versace Medusa Evening Gown c.1960,15810,30830
Grand Antique Wrought Iron Chandelier,880,2560
Confederate States Collection Georgian Period With Provenance,11170,24300
Vintage Korean War Dog Tags,7350,20000
Important Suzani Embroidered Textile,760,1860
Provenance Vintage Fly Fishing Rod Hardy Empire Period Estate Fresh,2850,7130
Yves Saint Laurent Le Smoking Jacket Good Condition,12380,35000
Ornate Chinese Cash Coin Collection c.1840,13600,18820
Exquisite Victorian Porch Brackets Pair Belle Epoque From Private Collection,7140,15000
Art Deco Illustrated Novel,5060,14430
Unmatched Opus One Vertical Collection,8020,14970
Error Stamp Collection c.1900 As Found,20900,50000
Provenance Turquoise Silver Cuff 19th Century,27470,46980
Fine Gouache Street Scene c.1880,46540,82880
Kilim Flatweave Runner Good Condition,9320,14240
Unique Isfahan Silk Rug Edwardian Era With Certificate,8410,27100
Andreas Gursky Rhine II Print With Provenance,3210,9800
Certified Louis XIII Cognac Baccarat Decanter c.1900,1880,3110
Late Marble Bust Mid-Century,34150,51460
Notable Indian Mughal Miniature Painting c.1820,5830,11000
Pristine Impressionist Garden Scene c.1970 Good Condition,45140,77920
Taper Stick Silver Georgian c.1900,8960,20000
Oversized Walker Evans FSA Print,12700,27700
Period French Foreign Legion Kepi c.1820 With Certificate,8940,20000
Magnificent Krug Collection 1988,230,340
Exhibited Meissen Porcelain Figurine,2630,6880
Historic Aneroid Barometer Victorian Good Condition,5500,12760
Superb Carved Limestone Angel 19th Century Recently Conserved,14740,23070
Authentic Baluch Prayer Rug c.1900,850,1330
Remarkable Matchbox Lesney Collection,930,2240
Matched Ludwig Vistalite Drum Kit,14260,18760
Hunting Horn Silver Mounted c.1820 Estate Fresh,5190,12000
Delicate GI Joe Prototype Belle Epoque,820,1150
Monumental Chinese Scroll Painting Landscape Federal Period Unrestored,14380,37760
Authentic Incunabulum Leaf 1480s Modernist Period,2000,2650
Important Zulu War Assegai Spear,3410,6400
Limoges Enamel Box Collection Modernist Period,2120,3300
Opus One Vertical Collection,11260,25000
Restored Matchbox Lesney Collection,5230,14450
Fraktur Pennsylvania German,8640,18000
Pristine Silver Gilt Wine Cooler Empire Period,7000,10830
Miniature 1794 Flowing Hair Dollar 19th Century,22340,36720
Enamel Dial Dress Watch,44450,120000
Published Diane Arbus Twins Print,8510,11440
Late Standing Liberty Quarter,23510,33590
Estate Khmer Sandstone Apsara Relief c.1900,4620,9000
Aviation Chart WWII Pacific,5820,12000
Restored Garry Winogrand Airport Print Georgian Period,4150,7250
Early Pocket Globe George III Era Arts & Crafts Era,1240,2440
Remarkable Vintage Gucci Bamboo Bag c.1940,1160,3480
Provenance Cape of Good Hope Triangular c.1970,9440,20660
Pristine Japanese Tea Ceremony Kettle Modernist Period,11420,19750
Delicate Steinway Model B Grand Piano c.1820 Good Condition,29690,60000
Slide Rule Collection Edwardian Era With Certificate,11550,30000
Choice Maori Carved Tiki Figure,18060,40000
Published Mark Twain Signed Manuscript Page,13980,35060
Grand Whale Oil Lamp Antique Mid-Century Estate Fresh,2750,7470
Miniature Leica M3 Camera Body,6920,13150
Provenance Tansu Japanese Step Chest c.1940 As Found,12250,25000
Filigree Silver Brooch Arts & Crafts Era,27340,50100
Scarce American Coin Silver Spoons,8950,19410
Select Matchbox Lesney Collection Modernist Period,3770,7980
Zither Concert Model Antique Estate Fresh,28370,60000
Outstanding Standing Liberty Quarter Late Victorian As Found,39640,65980
Restored Easter Island Moai Replica Estate Fresh,11910,31750
Museum Quality Haida Argillite Carving Edwardian Era,10860,33380
Lionel Standard Gauge Train Mid-Century,6270,15000
Emilio Pucci Palazzo Pants c.1860,480,690
Quilt Log Cabin Pattern c.1780 Excellent Condition,2600,7980
Estate Transformers G1 Optimus Prime Early 20th Century From Private Collection,5870,15000
Ornate Resin Cast Figure Art Deco Period With Provenance,39670,80000
Unique Cigar Store Indian Figure 19th Century,2820,9600
Circus Poster Barnum Bailey Art Nouveau Period Recently Conserved,960,1730
Madame Gres Draped Gown Modernist Period,4500,14980
Late Fencing Foil Set Antique Georgian Period,520,1560
Antique Fender Stratocaster 1962 From Private Collection,17300,60000
Ukulele Martin Style 5K,6410,12780
Fine Jackie Robinson Dodgers Cap c.1880 Good Condition,17540,44990
Superb Reclaimed Stained Glass Window Good Condition,2820,7920
Microscope Brass Compound,1200,1970
Important Penfolds Grange 1971,4660,9150
Certified Regency Silver Sauce Boat,7310,20000
Longines Heritage Diver,25040,32660
Fine Vietnamese Ceramic Bowl Post-War,8620,16970
Corgi Batmobile Original Box Arts & Crafts Era,3360,5160
Colonial 1804 Draped Bust Dollar c.1860,31070,95780
Oversized Bidjar Iron Rug Post-War,8230,26720
Late Aston Martin Wings Badge Mid-Century Good Condition,440,1000
Vintage Hermes Kelly Bag c.1820 Unrestored,15090,21140
Superb Korean Celadon Bowl c.1800 From Private Collection,22970,60000
Super Bowl I Program,16070,50000
Balloon Clock Edwardian Mid-Century Museum Deaccessioned,6900,18000
Delicate Hair Art Memorial Wreath Unrestored,360,1240
Important Rolex Submariner,25710,80880
Monumental Dutch Marquetry Cabinet c.1910,5040,8930
Choice Bing Clockwork Boat Mid-Century From Private Collection,4540,12180
Signed Girard-Perregaux Laureato,49650,69890
Historic Marble Bust 19th Century,2430,7580
Outstanding Newel Post Cap Bronze c.1930,6100,11580
Standing Liberty Quarter Post-War,38160,100000
Ornate Orrefors Crystal Vase Signed c.1920,10080,13880
Antique Sheraton Card Table Empire Period,8790,16450
Kafka Metamorphosis 1st Ed c.1800 Good Condition,11380,16270
Dobro Resonator Guitar Vintage Early 20th Century,29050,44960
Provenance Irish Silver Sugar Bowl c.1940,3180,7920
Rare Buffalo Nickel Proof Art Deco Period,7540,10920
Restored Carnival Glass Punch Bowl Set,8030,15860
Matched Tribal Caucasian Kazak Rug Art Deco Period Good Condition,7840,27160
Yamazaki 18 Year Japanese Whisky c.1860,990,1590
Flemish Verdure Tapestry c.1960,10150,17570
Important Post-Impressionist Cityscape c.1920,7870,16960
Pocket Globe George III Era,340,910
Vintage Edwardian Silver Card Case Good Condition,5540,10470
Distinguished Barbie #1 Original 1959 Unrestored,6420,15000
Restored Durand Pulled Feather Vase,9260,16550
Scarce Windsor Writing Arm Chair c.1970 With Certificate,8960,22780
Period Kilim Flatweave Runner Art Nouveau Period,5870,9540
Scarce Bakelite Telephone Rotary,5680,19780
Hall Tree Coat Stand Late Victorian,3260,7320
Ashcan School Street Scene c.1920,10620,22440
Kosta Boda Art Glass Bowl c.1800,6870,17360
Matched US Airmail Stamp Collection,22330,50000
Shaker Oval Box Nested Set,350,730
Secretariat Derby Photo c.1900,1380,2250
Castrol Oil Can Collection Belle Epoque,1630,4690
Remarkable Silk Route Trade Map Reproduction With Provenance,3750,8720
Restored Girard-Perregaux Laureato Good Condition,38920,120000
Superb Architectural Salvage Column Pair Federal Period,5880,12280
Webb Cameo Glass Vase,6860,11560
Diego Maradona Signed Shirt c.1910,6600,20070
Herend Figurine Hand Painted c.1820,7090,21670
Choice Murano Glass Chandelier 12 Arm,7830,20000
Hublot Big Bang,18890,42140
1961 Chateau Latour,11760,20430
Monumental Soumak Flatweave Bag c.1950,7970,18410
Rare Zeppelin Mail Cover,24310,37870
Estate French Foreign Legion Kepi c.1880,2280,2980
Cigar Store Indian Figure With Certificate,3960,13250
Exceptional Proof Silver Eagle Set,43140,57610
Early Zulu War Assegai Spear c.1920 Museum Deaccessioned,1730,3050
Miniature Sony Walkman TPS-L2 Original,4680,10680
Distinguished Stainless Steel Modern Piece,25000,69850
Period Mandolin Gibson F-5 Lloyd Loar Recently Conserved,9560,25610
Cameo Shell Brooch Edwardian Era With Provenance,13700,36290
Grand Sevres Porcelain Urn Excellent Condition,14440,30780
Byzantine Gold Solidus Excellent Condition,29180,83060
Museum Quality Art Deco Diamond Ring c.1780,15370,39170
Distinguished Joel Meyerowitz Cape Light Print Federal Period Museum Deaccessioned,1830,4150
Distinguished Baluch Prayer Rug,260,460
Antique Holland & Holland Double Rifle,2280,5450
Tavern Clock Act of Parliament Mid-Century,6750,18000
Ancient Roman Aureus,22960,41170
Provincial Labradorite Pendant Recently Conserved,5570,11540
Oversized Commodore 64 Complete System c.1780 With Certificate,7460,11640
Documented Mexican Sterling Serving Tray c.1930,7380,10960
Skeleton Clock Victorian,7130,12020
Early Wheel Barometer Rosewood,8460,12600
Rare Vacheron Constantin Patrimony c.1910,12070,22960
Codex Fragment Medieval,14330,33940
Hofner 500/1 Bass Guitar Mid-Century Estate Fresh,12180,40860
Delicate Garden Fountain Tiered Stone Belle Epoque,5630,12180
Museum Quality Colonial Blanket Chest,10090,15030
Vintage Stradivarius Violin Copy,25310,58990
Moorcroft Pomegranate Vase c.1880,14100,36960
Distinguished Porsche Enamel Dealer Sign,1170,1760
Historic Native American Kachina Doll,8370,20800
F. Scott Fitzgerald Signed Copy c.1960 With Provenance,18170,29970
Premier Dunhill Leather Briefcase c.1780,4820,12930
Notable Art Deco Travel Poster Paris From Private Collection,2420,4520
Tang Dynasty Horse Figure,8750,12110
Delicate Louis XIII Cognac Baccarat Decanter c.1960,12140,25000
Nantucket Lightship Basket c.1950,2380,3690
Provincial Aubusson Tapestry Panel c.1950,3620,9950
Distinguished Slide Rule Collection Good Condition,4090,13700
Antique Victorian Garden Bench Iron,610,810
Antique Onyx Decorative Figure Mid-Century With Provenance,1570,4200
Delicate Inverted Jenny Stamp Art Nouveau Period Excellent Condition,13160,36980
Commodore 64 Complete System With Certificate,5530,14450
Exquisite Nantucket Lightship Basket Late Victorian,700,1620
Premier Cassandre Normandie Poster,2070,6970
Important City Plan Paris 1750 c.1840,2090,6990
Colonial Signed Einstein Letter c.1820,21580,39560
Historic Madame Gres Draped Gown Late Victorian,4240,8440
Exhibited Silver Mounted Cut Glass Claret Jug,3590,4870
Rare Ancient Map Folio Modernist Period,18120,25330
Matched Copper Patina Sculpture Mid-Century Recently Conserved,25610,40150
Select Antique Tennis Racket Georgian Period,1880,3510
Early Polynesian Tapa Cloth Museum Deaccessioned,2270,5140
Signed Robert Mapplethorpe Flower Print,9120,15530
Provenance Whittled Walking Cane Georgian Period,140,280
Provenance Whittled Walking Cane Empire Period,4440,12060
Outstanding Steering Wheel Nardi Wood,590,1550
Exceptional Estate Survey Map Colonial c.1970,4410,12000
Quilt Log Cabin Pattern Empire Period,5930,14800
Matched Fresco Fragment,59800,150000
Hot Wheels Redline Collection c.1960 Unrestored,5880,9040
Limestone Garden Balustrade c.1970,3360,6580
Corbel Carved Wood Victorian c.1970 Unrestored,6610,15000
Remarkable Hank Aaron Home Run Ball,10650,19900
Exhibited Regency Silver Sauce Boat Excellent Condition,7160,10520
Signed Whirligig Carved Sailor,4310,10130
Pristine Chronometer Marine Deck c.1900,3520,9550
Colonial City Plan Paris 1750 Georgian Period With Provenance,5960,12000
Pristine Tolkien Hobbit 1st Ed From Private Collection,24050,50000
Restored Victorian Porch Brackets Pair Arts & Crafts Era,6780,15000
Premier Thermometer Clinical Antique,630,1210
Delicate Saint Louis Crystal Goblet Set c.1900,2840,3960
Exquisite Charcoal Cityscape Drawing c.1970,9970,16770
Choice Richard Avedon Portrait Print c.1780,14130,30000
Grand Paul Revere Silver Bowl Arts & Crafts Era,7370,20000
Loetz Iridescent Art Glass Vase 19th Century Estate Fresh,7340,11600
Exquisite Steinway Model B Grand Piano,29630,60000
Choice Antique Brass Door Hardware Set c.1920,2750,9020
Continental Native American Kachina Doll,3850,6320
Colonial Sailor Valentine Shell Art c.1910 Excellent Condition,6940,16520
Miniature Cast Iron Garden Sculpture c.1780,17740,30260
Original Olympic Games Poster Collection,4140,8420
Provincial Ashanti Gold Weight Bronze Federal Period,8160,15840
Authentic Labradorite Pendant Post-War Estate Fresh,17840,23940
Hydrographic Chart Coastal Edwardian Era,4680,6920
Notable Art Deco Travel Poster Paris Unrestored,2000,6970
Original Ferrari Owners Manual With Certificate,2380,4760
Monumental Confederate Currency Note With Provenance,44200,68590
Fine Boucheron Gold Cuff Arts & Crafts Era,1310,2950
Val Saint Lambert Vase Art Deco Period,3730,4950
Estate Larry Bird Game Worn Sneakers,3730,7710
Delicate Ancient Map Folio c.1950,6360,14830
City Plan Paris 1750 Museum Deaccessioned,550,1630
Exceptional Renaissance Revival Armoire,4400,8260
Sweden Treskilling Yellow Estate Fresh,16790,30110
Original Japanese Lacquer Writing Box c.1940,29720,60000
Provenance Cabochon Emerald Brooch Recently Conserved,26590,64030
Remarkable Aboriginal Boomerang Carved Post-War,2820,8850
Monumental Silhouette Portrait Collection c.1800 Recently Conserved,1750,3790
Documented Grueby Faience Tile c.1910,3260,7770
Vintage 1990 Screaming Eagle Cabernet c.1860,4280,14250
Choice Hammond B3 Organ From Private Collection,6130,12220
Bronze Figurine Art Deco Period,7480,22240
Period Atmos Clock Jaeger-LeCoultre Regency Period With Provenance,3710,8180
Diamond Riviere Necklace Regency Period,7790,14870
Pristine Spanish Doubloon c.1820 Estate Fresh,42530,74780
Choice Audubon Birds Print,2520,7530
Published US Airmail Stamp Collection 18th Century Recently Conserved,4290,10570
Remarkable Boucheron Gold Cuff,37140,75000
Polo Mallet Collection 19th Century,150,310
Reclaimed Church Doors Oak Unrestored,1170,4030
Unmatched Cappiello Campari Poster,2700,4440
Continental Chanel Tweed Jacket Vintage,9950,20140
Fine Joe DiMaggio Bat Game Used c.1970,23140,37720
Scarce Teddy Ruxpin Working With Certificate,2040,4920
Night Clock Oil Lamp Italian Recently Conserved,3410,10660
Jade Bangle Bracelet c.1910,21830,67140
Magnificent Stumpwork Embroidery Panel Modernist Period,400,1100
Matched Carved Stone Gargoyle Federal Period,2100,5100
Monumental Finial Cast Iron Roof Georgian Period,2260,3900
Newcomb College Vase Modernist Period,14770,33590
Magnificent Oushak Wool Carpet Late Victorian,14270,23550
Vintage Pocket Globe George III Era,3780,11910
Unmatched Georg Jensen Silver Pitcher,7420,16260
Documented Atari Jaguar Console Sealed,1730,3080
Restored Wedgwood Jasperware Plaque,2230,4320
Distinguished Hooked Rug Floral Design c.1910,3640,7180
Rare Multi-Strand Pearl Choker,11390,37790
Miniature Waterford Crystal Decanter Set c.1960,1700,3690
Louis XVI Commode Belle Epoque,5840,13730
Grand Delft Tulip Vase With Provenance,450,790
Oversized Steering Wheel Nardi Wood Art Nouveau Period Unrestored,2440,5000
Unmatched Mandolin Gibson F-5 Lloyd Loar Unrestored,5330,12690
McIntosh MC275 Amplifier,9810,24210
Period Terrestrial Library Globe 18th C,3000,8610
Signed Cadastral Survey Map Antique,5530,12000
Exhibited Ashanti Gold Weight Bronze Recently Conserved,18500,25130
Admiralty Chart British Navy Late Victorian,2130,3050
Provenance Czech Art Glass Sculpture Late Victorian,5030,12360
Sevres Porcelain Clock Garniture,2430,4710
Early Georgian Silver Candlestick Pair Recently Conserved,6020,19300
Confederate Currency Note,7520,19110
Mercedes Benz Star Emblem Vintage,2440,5000
Documented Partner's Desk Leather Top Estate Fresh,1380,1940
Oversized Shaker Oval Box Nested Set,620,1600
Restored 1952 Topps Mickey Mantle Card,830,2130
Colonial Civil War Letters Collection Good Condition,180,360
Provenance Japanese Lacquer Writing Box,1420,2370
Certified Carved Oak Church Pew,11420,21820
Exceptional Industrial Factory Pendant c.1820 Good Condition,5580,9340
Desert Storm Challenge Coin Set Empire Period,1710,4160
WWI Trench Art Vase c.1780,9170,20000
Rare Celtic Harp Hand Carved,20950,60000
Jesse Owens Olympic Photo Signed Modernist Period Recently Conserved,19970,28140
Continental Carousel Horse Carved Wood,6650,17240
Bronze Figurine Good Condition,39340,80000
Colonial Perfin Stamp Collection Good Condition,15930,45220
Superb Topaz Chandelier Earrings 18th Century,6240,20050
Cookie Board Springerle,5530,7990
Macallan 25 Year Single Malt,8080,12380
Historic Chrysoprase Brooch Federal Period,12070,27600
Colonial Larry Bird Game Worn Sneakers c.1900 Estate Fresh,4570,9870
Silver Gilt Wine Cooler Museum Deaccessioned,4940,7040
Atari 2600 Console Boxed Edwardian Era,9140,29840
Astronomical Regulator Clock Modernist Period Unrestored,7540,18000
French Empire Crystal Chandelier,2470,4490
Unmatched Tachisme Drip Painting c.1930,44990,76830
Exhibited Regency Dining Table Late Victorian,1690,3540
Period Limestone Garden Balustrade Art Nouveau Period,4150,12840
Estate Double Eagle $20 Gold Coin,22730,65600
Tramp Art Frame Layered Museum Deaccessioned,1030,2520
Circus Poster Barnum Bailey c.1780 Good Condition,1160,1720
Van Briggle Lorelei Vase,7510,13440
Rare French Empire Crystal Chandelier,3750,8770
Level Spirit Brass Surveyor,3710,9810
Documented Theremin RCA Original c.1970,17120,27230
Attributed Dunhill Leather Briefcase c.1780,7860,12020
Exquisite Sporting Gun Cabinet Oak,5570,12000
Terracotta Statuette Mid-Century,9640,12810
Pristine Art Deco Automobile Mascot c.1930 With Certificate,930,1900
Faberge Style Egg Mid-Century,1560,4760
Unmatched Astrolabe Reproduction c.1820,450,1320
Exceptional Roseville Sunflower Vase 18th Century,3120,4880
Choice Persian Tabriz Silk Rug Empire Period,7450,22150
Magnificent Sailor Valentine Shell Art With Certificate,7990,18000
Matched Seated Liberty Half Dollar,31650,100000
Outstanding Plaster Maquette With Provenance,27420,56070
Continental Sextant Ebony Frame Unrestored,5050,15000
Aboriginal Dot Painting Canvas Mid-Century Good Condition,9580,14390
Superb Colonial Blanket Chest c.1970,240,650
Late Orrefors Crystal Vase Signed Art Deco Period As Found,180,310
Gandhara Stone Buddha Head,27300,60000
Premier Bugatti Radiator Cap,1290,3610
Buccellati Silver Bowl,9580,20000
Pristine Equestrian Saddle Vintage English c.1780,5220,9900
Delicate Hair Art Memorial Wreath Edwardian Era,3620,6550
Magnificent 1961 Chateau Latour c.1860 Good Condition,2320,7760
Matched Nintendo Game Boy Sealed,660,1720
Historic AA Badge Chrome Collection,2100,5000
Restored Kutani Porcelain Plate,7780,20100
Ornate Revolutionary War Musket With Provenance,9180,20000
Magnificent Ashanti Gold Weight Bronze,8550,23090
Ornate F. Scott Fitzgerald Signed Copy c.1970,8940,16030
Attributed Tanzanite Tennis Bracelet c.1900,26060,40230
Provincial Louis Vuitton Trunk Antique Art Deco Period With Provenance,6040,14140
Remarkable Porcupine Quill Box,4510,9550
Estate Globe Celestial Miniature,4930,12750
Notable Tiffany Dragonfly Table Lamp,2560,7540
Fine Stradivarius Violin Copy,8390,20720
Museum Quality Tiffany Sterling Flatware Set Art Nouveau Period,5710,18440
Colonial Steiff Teddy Bear 1905 c.1970 From Private Collection,3980,11840
Alfred Stieglitz Equivalent Print,13010,30000
Pastel Nude Study,38630,120700
Colonial Arts & Crafts Oak Settle,3080,5960
Matched Victorian Emerald Brooch,34640,58880
Hans Coper Spade Form Excellent Condition,11390,14980
Stradivarius Violin Copy As Found,13100,26330
Historic Henri Cartier-Bresson Gelatin Print Unrestored,2260,7540
Whittled Walking Cane Arts & Crafts Era,350,1210
Distinguished Daum Nancy Pate de Verre c.1800,9240,18770
Vintage Mdina Glass Paperweight c.1960 Recently Conserved,4970,13800
Ornate Vintage Neon Beer Sign Federal Period Good Condition,3480,11230
